"longitude ","latitude ","activity ","accuracy ","altitude ","velocity ","activity_timestampMs ","activity_confidence ","heading ","verticalAccuracy ","timestampMs ","userID "
21.7506925,38.2675368,STILL,42,,,1459669163666,92,,,1459668841838,1
21.7372427,38.2457884,STILL,41,,,1474970059756,100,,,1474970211514,1
21.7372522,38.2457969,STILL,42,,,1474970963869,100,,,1474970963948,1
21.7357245,38.2481590,STILL,9,,,1474974807840,83,,,1474974798000,1
21.7357731,38.2482313,STILL,24,,,1474974963055,81,,,1474974870356,1
21.7357210,38.2481512,STILL,16,,,1474975568352,81,,,1474975492000,1
21.7357130,38.2481412,STILL,17,,,1474975954387,97,,,1474975914517,1
21.7356589,38.2481989,STILL,12,,,1474976074493,52,,,1474976035990,1
21.7357282,38.2481781,STILL,14,,,1474976320216,50,,,1474976357397,1
21.7356203,38.2481724,STILL,7,,,1474976582131,73,,,1474976579394,1
21.7358879,38.2483640,STILL,25,,,1474976764083,92,,,1474976819400,1
21.7358498,38.2481989,STILL,20,,,1474976974079,92,,,1474976973235,1
21.7356119,38.2480868,STILL,9,,,1474977127919,54,,,1474977123399,1
21.7356603,38.2481961,STILL,12,,,1474977278182,62,,,1474977282388,1
21.7356603,38.2481961,STILL,12,,,1474977476531,100,,,1474977511375,1
21.7357297,38.2481675,STILL,7,,,1474977675359,100,,,1474977689402,1
21.7356974,38.2481405,STILL,19,,,1474977887396,40,,,1474977946394,1
21.7357538,38.2477824,STILL,21,,,1474978051609,44,,,1474978069000,1
21.7357804,38.2477977,STILL,99,,,1474978291727,92,,,1474978188000,1
21.7357414,38.2479293,STILL,19,,,1474978548265,67,,,1474978552574,1
21.7357185,38.2480543,STILL,13,,,1474979448252,100,,,1474979302893,1
21.7357857,38.2482072,STILL,13,,,1474979643831,100,,,1474979633000,1
21.7357697,38.2482074,STILL,26,,,1474979903985,62,,,1474979853618,1
21.7357456,38.2481655,STILL,23,,,1474980333785,79,,,1474980298000,1
21.7357228,38.2481510,STILL,15,,,1474980453950,46,,,1474980496000,1
21.7357211,38.2481515,STILL,99,,,1474980708464,97,,,1474980741000,1
21.7357232,38.2481557,STILL,5,,,1474980831107,97,,,1474980860000,1
21.7357077,38.2480921,STILL,9,,,1474980954226,65,,,1474980965000,1
21.7357058,38.2480913,STILL,9,,,1474981097301,52,,,1474981088008,1
21.7357058,38.2480913,STILL,9,,,1474981212655,50,,,1474981211704,1
21.7506217,38.2675055,STILL,40,,,1474982608390,85,,,1474982608191,1
21.7506405,38.2675224,STILL,40,,,1474982724664,71,,,1474982723234,1
21.7506405,38.2675224,STILL,40,,,1474982919222,85,,,1474982895902,1
21.7506373,38.2675444,STILL,39,,,1474983099940,100,,,1474983099844,1
21.7506135,38.2675154,STILL,39,,,1474984721057,100,,,1474984720909,1
21.7506190,38.2675053,STILL,40,,,1474986284149,100,,,1474986282074,1
21.7505140,38.2676147,STILL,39,,,1474986539677,70,,,1474986542279,1
21.7506172,38.2675505,STILL,47,,,1474986888430,87,,,1474986890572,1
21.7506172,38.2675505,STILL,47,,,1474986969288,75,,,1474986990385,1
21.7506187,38.2675563,STILL,37,,,1474987151939,100,,,1474987104954,1
21.7506128,38.2675537,STILL,37,,,1474987334169,100,,,1474987293579,1
21.7506128,38.2675537,STILL,37,,,1474987518108,92,,,1474987517924,1
21.7506380,38.2675293,STILL,40,,,1474989716043,100,,,1474989711612,1
21.7506368,38.2675502,STILL,38,,,1474989816000,100,,,1474989841318,1
21.7506304,38.2675520,STILL,38,,,1474990037615,95,,,1474990067885,1
21.7506304,38.2675520,STILL,38,,,1474990227285,100,,,1474990196880,1
21.7506383,38.2675366,STILL,39,,,1474990418919,100,,,1474990479029,1
21.7506454,38.2675404,STILL,39,,,1474990600012,100,,,1474990561643,1
21.7506318,38.2675200,STILL,40,,,1474991323558,100,,,1474991162496,1
21.7506178,38.2675121,STILL,39,,,1474991451631,100,,,1474991513789,1
21.7506178,38.2675121,STILL,39,,,1474991963888,100,,,1474991877953,1
21.7506160,38.2675168,STILL,39,,,1474992051419,100,,,1474992097529,1
21.7506314,38.2675293,STILL,39,,,1474992393806,40,,,1474992343765,1
21.7506314,38.2675293,STILL,39,,,1474992462447,71,,,1474992462644,1
21.7506397,38.2675611,STILL,38,,,1474992650921,43,,,1474992659485,1
21.7506435,38.2675284,STILL,40,,,1474992837057,58,,,1474992824209,1
21.7506455,38.2675332,STILL,30,,,1474993219589,62,,,1474993167168,1
21.7506455,38.2675332,STILL,30,,,1474993357552,37,,,1474993292624,1
21.7506247,38.2675173,STILL,39,,,1474993443997,60,,,1474993472503,1
21.7506245,38.2675350,STILL,38,,,1474995601107,100,,,1474995701645,1
21.7506298,38.2675590,STILL,38,,,1475005988459,100,,,1475006063708,1
21.7506830,38.2675399,STILL,23,,,1475006550620,90,,,1475006554382,1
21.7506449,38.2675455,STILL,39,,,1475007117755,90,,,1475007143955,1
21.7506449,38.2675455,STILL,39,,,1475007361017,92,,,1475007316925,1
21.7506449,38.2675455,STILL,39,,,1475007463174,68,,,1475007442910,1
21.7506445,38.2675460,STILL,39,,,1475007583135,92,,,1475007543969,1
